App Name,Package Name,Category,Sub-category,Description
DigiCal Calendar,com.digibites.calendar,Productivity,,"b' \xf0\x9f\x8f\x86 Favourite: best calendar apps for Android \xe2\x80\x93 The Next Web\xf0\x9f\x8f\x86 DigiCal is one of the most flexible, customisable calendars \xe2\x80\x93 Lifehacker  Our daily planner has a clean design and multiple agenda views to make scheduling quick and easy. \xe2\x98\x81 SYNC WITH GOOGLE CALENDAR, OUTLOOK AND EXCHANGE \xf0\x9f\x93\x86 7 POWERFUL AND CLEAN AGENDA VIEWSSchedule appointments with our easy to use planner that offers the day, week, agenda, month, text month, list and year view to all your events.  \xf0\x9f\x93\x85 6 BEAUTIFUL AND EASY CUSTOMISABLE CALENDAR WIDGETSUse our planner to organise and get a clear overview of your busy schedule with 9 beautiful pre-set themes available for the list, grid, day, day list, text month and month widgets \xf0\x9f\x8e\x84 PREMIUM HOLIDAY, SPORTS, TV, FINANCE AND LIFESTYLE CALENDAR \xe2\x9a\xbdGet access to more than 560k+ public holiday, sports and TV schedules worldwide that you can add to your agenda. \xe2\x98\x94 GLOBAL WEATHER FORECASTDetailed weather info is displayed in our planner: temperature, humidity, precipitation, pressure, cloud cover, wind, sunrise and sunset \xf0\x9f\x8c\x83 MATERIAL DESIGN DARK THEMEImprove visibility at night and save energy \xf0\x9f\x8c\x88 42 COLOURS FOR EASIER ORGANISING! Lots of colour options for your organiser including colour synchronisation with Google Calendar. \xf0\x9f\x94\xb0 BUILT-IN LOCATION SEARCHFaster address entry with Google Places Autocomplete \xf0\x9f\x94\x94 Notifications with snooze, maps and navigation\xf0\x9f\x94\x92 Local calendar for extra privacy, no syncing required\xf0\x9f\x93\x86 Combined date & time picker for faster scheduling\xf0\x9f\x8e\x8a Manage invitations with RSVP and reply to event organiser and guests\xe2\x9c\x88 Schedule your appointments in both local and foreign time zone\xf0\x9f\x8c\x89 Event image matching in 27 languages \xe2\x98\x80 PREMIUM WEATHER FORECAST- Detailed hourly weather forecast for the next 48 hours, and 3 hourly for the next 15 days- Interactive temperature and precipitation graph- Manage and save your favourite weather locations \xf0\x9f\x8c\x9f DigiCal+ features:- 2 extra widgets: month widget and month calendar widget- Year view with heat map for spotting free and busy period- Unlock new customisation options for the calendar widgets and agenda views- 7 extra widget themes- 42 theme colours - Custom snooze option- No ads Tutorial: https://digibites.zendesk.com/hc Need help? https://digibites.zendesk.com/hc/en-us/requests/new Website: https://www.digibites.nl/digical Facebook: https://www.facebook.com/digicalcalendar/ Google+: https://plus.google.com/u/2/107881916502426460581 Beta Channel: https://plus.google.com/u/2/communities/111353661957002476497 Twitter: https://twitter.com/DigicalCalendar  '"
Inbox,com.google.android.apps.inbox,Communication,,"b"" Your email inbox should help you live and work better, but instead, it often buries the important stuff and creates more stress than it relieves. Inbox, built by the Gmail team, keeps things organised and helps you return to what matters.\xe2\x80\xa2 HIGHLIGHTS \xe2\x80\x93 Get the most important information without even opening the message. Check in for flights, see delivery information for purchases and view photos from friends right in front of you.\xe2\x80\xa2 BUNDLES \xe2\x80\x93 Similar messages are bundled together so that you can deal with them all at once. And get rid of them with one swipe.\xe2\x80\xa2 REMINDERS \xe2\x80\x93 More than email, you can add reminders so that your inbox contains everything you need to return to.\xe2\x80\xa2 SNOOZE \xe2\x80\x93 Snooze emails and reminders to reappear when you're ready to deal with them: next week, when you get home or whenever you want.\xe2\x80\xa2 SEARCH \xe2\x80\x93 Inbox helps you find exactly what you\xe2\x80\x99re looking for \xe2\x80\x93 from your upcoming flight to a friend's address \xe2\x80\x93 without having to dig through messages.\xe2\x80\xa2 WORKS WITH GMAIL \xe2\x80\x93 Inbox is built by the Gmail team, so all your messages from Gmail are here, together with the reliability and spam protection of Gmail. All your messages are still in Gmail and always will be.  """
Google Drive,com.google.android.apps.docs,Files,Cloud,"b' Google Drive is a safe place for all of your files that puts them within reach from any smartphone, tablet or computer. Files in Drive \xe2\x80\x93 such as your videos, photos and documents \xe2\x80\x93 are backed up safely so you can\xe2\x80\x99t lose them. Once there, you can easily invite others to view, edit or leave comments on any of your files or folders.With Drive, you can:- Safely store your files and access them from anywhere.- Search for files by name and content.- Easily share files and folders with others.- Quickly view your content.- Set access levels for who can view, comment or edit.- Quickly access recent files.- See file details and activity.- Enable viewing of files offline.- Use your device camera to scan paper documents.- Access pictures and videos from Google Photos.  '"
IndiGo,in.goindigo.android,Travel,Flight,"b' 2G2BT \xe2\x80\x93 it\xe2\x80\x99s good & it\xe2\x80\x99s true \xe2\x80\x93 IndiGo is now available on your mobile. Book flights, check \xe2\x80\x93in, select seats, look up flight status and schedules on the go. Download & start exploring.The all new IndiGo app is here which allows you to do host of cool stuff on the go.\xe2\x80\xa2\tBook a flight with pay now & pay later option\xe2\x80\xa2\tCheck-in on the go & select your seat.\xe2\x80\xa2\tGet to know latest flight schedule\xe2\x80\xa2\tReal time flight status\xe2\x80\xa2\tPay any way \xe2\x80\x93 with a cash card, mobile wallets, IMPS, net banking, debit card or a stored credit card \xe2\x80\xa2\tPay in other currencies like USD, GBP, SGD, THB, EUR, NPR, OMR and AED.\xe2\x80\xa2\tLook out for the widest range of food & beverages under the in-flight menuDownload the free IndiGo app now and enjoy the hassle free experience on the go!For any issue, please call IndiGo call centre 09910383838 or email at customer.relations@goindigo.in  '"
Sticky Note +,com.cg.stickynote,Productivity,,"b' *** This is a must have app *******SYNC NOTES WITH ALL DEVICES***Notes is a good helper to manage your schedules and notes. It gives you a quick and simple notepad editing experience when you write notes, memo, email, message, shopping list and to do list. It makes to take a note easier than any other notepad and memo apps.Make your notes in simple and securer way.Key features:* Add sticky note widget to your desktop.Where from you can open ,add and edit any note.* Can be organized in Different Colors and theme, easy to classified your notes;* Add Checklist for To do list & Shopping list* Different kinds of notes background color available to change, make your notes in personalized way.* Change the Font size;* Set reminder to your notes, no longer missing you important things;* Auto-saved. You don\xe2\x80\x99t have to do anything to save them.* Share your notes via e-mail, SMS, and etc.;* Backup/export to SD card  '"
Calendar Widget,com.candl.chronos,Productivity,,"b"" Month is a collection of modern, beautiful and useful Calendar widgets. \xe2\x97\x8f Beautiful widgets with over 80 hand-crafted themes.\xe2\x97\x8f Integrate seamlessly into any home screen layout you're currently using.\xe2\x97\x8f Synced with Google calendar.\xe2\x97\x8f Display calendar events.\xe2\x97\x8f Display friend's birthdays.\xe2\x97\x8f Supports lunar calendar.\xe2\x97\x8f Quickly browse your agenda / todo list from widget.\xe2\x97\x8f Choose which calendars you would like to show.\xe2\x97\x8f Fast, modern and intuitive UI with Material design.\xe2\x99\xa5 Made with love \xe2\x99\xa5  """
BlaBlaCar,com.comuto,Travel,Cabs,"b"" MUST-HAVE FREE TRAVEL APP: comfortable, affordable city-to-city car travel with Govt. ID verified members.Share city-to-city car journeys with great people:\xe2\x80\xa2 If you're travelling long-distance in your car, offer a ride to other members\xe2\x80\xa2 If you need to travel, choose a ride and make an agreed contribution to driving costs\xe2\x80\xa2 You enjoy affordable, comfortable travel together!OFFER A RIDE:Share your driving costs with great people and save money:\xe2\x80\xa2 Publish your ride in seconds\xe2\x80\xa2 Approve other members to travel with you\xe2\x80\xa2 Enjoy your journey with great people and share your driving costsFIND A RIDE:Travel with a member from our trusted community who's going your way:\xe2\x80\xa2 Search for a ride to your destination city, even last minute\xe2\x80\xa2 Check the profiles of the members offering a ride, and get in touch to request a ride\xe2\x80\xa2 Travel together in comfort, meet great people and enjoy the journey!-------------------------BlaBlaCar ensures that you travel comfortably and securely with great people of your choice:\xe2\x80\xa2 Member profiles including Govt. ID verification\xe2\x80\xa2 Ratings shown on profiles establish the reputation of each member\xe2\x80\xa2 Easily communicate with fellow members via in-app messaging\xe2\x80\xa2 Set price limits for each journey to ensure prices are fair and transparentGET IN TOUCH: http://www.blablacar.co.uk/contacthttp://www.blablacar.in/contact  """
Jugnoo,product.clicklabs.jugnoo,Travel,,"b"" Jugnoo helps you with an affordable, quick and convenient doorstep commute in 40+ cities, lunch and dinner on tap (few cities) , high quality fruits and vegetables (some cities) to fit your daily needs, Jugnoo Pay for cashless transactions and Jugnoo Menus to order from your favourite restaurant.Rides on DemandGet convenient and safe rides with fares 40% lower than cabs. Simply tap a button and a verified Jugnoo driver will arrive at your desired pick-up location within minutes.By far, the easiest and fastest way of traveling in Indian cities.How it works -1. GPS detects your current location.2. Tap the rides button at the centre and we ping the nearby Jugnoo rides.3. One of the Jugnoo accepts your request and moves towards your pickup location.4. Instant confirmation along with the driver's details are displayed.5. Call the driver directly to give specific details if required.5. Track the Jugnoo auto coming your way on the map.6. Pay the fare shown at the completion of ride based on distance travelled and time taken using cash, Freecharge, Mobikwik, Jugnoo Pay, Paytm.7. Refer your friends for free rides.MenusLaunching \xe2\x80\x9cMenus\xe2\x80\x9d - restaurant food delivery segment, .This will now allow consumers to order food from empanelled restaurants on Menus.Currently geared up to start operations in Noida, Gurugram, Indore, Chandigarh and Jaipur, Jugnoo plans to launch Menus across all Jugnoo locations in India in coming few months.  Also, it further aims to reach 1000 restaurants  in a month.Meals on DemandCurrently available in Chandigarh, Mohali, Panchkula and Zirakpur, we will be launching the service in all the 40+ cities where we are present in next 3 months.Get lunch or dinner at your doorstep from a daily changing lunch and dinner menu. No delivery charges, no order minima. We use our dense network of delivery to keep the costs at a minimum and pass on the benefits.Menu contains both the Indian best sellers for an affordable lunch as well as new unique choices everyday to provide you a weekly fix. Easy ordering, accurate delivery time, multiple payment modes.Fruits and Vegetables on DemandCurrently available in only Chandigarh, Mohali, Panchkula, Zirakpur and Ludhiana. High quality Farm produce delivered to your doorstep. Provides comfort and convenience of ordering fruits, vegetable and frozen items of the finest quality at mandi rates.Download Jugnoo to experience the 21st century Rides, Menus, Meals, Grocery & Fresh.Connect with us over social media for exciting deals.Follow us on Twitter at https://twitter.com/jugnooseLike us on Facebook at https://www.facebook.com/jugnooseHave a question? Write to us at support@jugnoo.in  """
HTC File Manager,com.htc.filemanager,Files,,"b' HTC File Manager makes it easy to find, browse and organize files on your phone, SD card or USB storage. Heart items to add them to your favorites, search for files by name and select multiple files or folders to cut, copy, delete, rename or move. HTC File Manager is the window into your storage space.Features:- Heart folders or files to add them to your favorites- Search your files and folders- Cut, copy, paste, delete, rename and move files or folders- Create new folders- Filter by file type- Sort by name, date or size- Share your filesHTC, the HTC logo and other HTC product and service names referenced in the Application are the trademarks or registered trademarks of HTC Corporation in the United States and other countries. Any other company names, product names, service names and logos referenced in connection with the Application may be the trademarks of their respective owners.  '"
WeChat,com.tencent.mm,Communication,,"b' ""Much better, much more popular, much more user-friendly\xe2\x80\x9d - USA Today""Simple enough that anyone can use it, versatile enough that everyone has some use for it"" - WiredWeChat is a messaging and calling app that allows you to easily connect with family and friends across countries. It\'s the all-in-one communications app for text (SMS/MMS), voice and video calls, Moments, photo sharing, and games.WHY USE WECHAT:\xe2\x80\xa2 MULTIMEDIA MESSAGING: Send video, photo, text, and voice messages.\xe2\x80\xa2 GROUP CHAT & CALLS: Create group chats with up to 500 people and group video calls up to 9 people.\xe2\x80\xa2 FREE VOICE & VIDEO CALLS: High-quality free calls to anywhere in the world.\xe2\x80\xa2 WECHAT OUT CALLS: Make calls to landlines and mobile around the globe at low rates (in certain regions only).\xe2\x80\xa2 STICKER GALLERY: Hundreds of free, fun, animated stickers to express your feelings from some of your favorite cartoons and movies.\xe2\x80\xa2 MOMENTS: Share your best moments on your personal photo stream.\xe2\x80\xa2 BETTER PRIVACY: WeChat gives you the highest level of control over your privacy. It\'s the only messaging app to be certified by TRUSTe.\xe2\x80\xa2 MEET NEW FRIENDS: Use \xe2\x80\x9cFriend Radar\xe2\x80\x9d, \xe2\x80\x9cPeople Nearby\xe2\x80\x9d and \xe2\x80\x9cShake\xe2\x80\x9d to meet others. \xe2\x80\xa2 REALTIME LOCATION: Instead of having to tell others where you are, just use real-time location sharing.\xe2\x80\xa2 LANGUAGE SUPPORT: Localized in 20 different languages and can translate messages to any language.\xe2\x80\xa2 AND MORE: Desktop app, custom wallpapers, custom notifications, and Official Accounts.  '"
ASUS Calendar,com.asus.calendar,Productivity,Calendars,"b"" ASUS ZenUI Calendar is the essential scheduling partner for your ASUS ZenUI device, allowing you to integrate appointments from multiple agendas, including Google Calendar and Microsoft Exchange \xe2\x80\x93 seamlessly!ZenUI Calendar also synchronizes with your favorite social-media tools, such as Plurk and  Weibo, keeping all parts of your life in harmony.Whether you like to like to browse your schedule by the day or week, or via a monthly view, ZenUI Calendar makes quick and easy work of managing personal, social and business arrangements \xe2\x80\x94 and with just a few taps of your finger!ImportantDue to changes in Facebook's service policy, ASUS Calendar will no longer be able to access some of your Facebook services such as all your Facebook friends information including their birthdays.  Some related features in ASUS Calendar have been modified in order to comply with this new policy. Thank you for your understanding. [Key features]- Support for both local, online and corporate calendars keeps all parts of your life in view.- Multiple calendar views allow you to flip easily between daily, weekly or monthly schedules.- Seamless integration with popular social networks helps you stay on top of birthdays, anniversaries and other events.- Ever-present \xe2\x80\x98New event\xe2\x80\x99 button means you can create new entries whenever you need, without having to hunt through menus.- Reply, forward, share or send invitations via ZenUI Email without having to switch apps.- Simple-to-configure countdown option provides persistent reminder of impending events, so you\xe2\x80\x99ll never miss an important appointment.- Decide exactly how simple or detailed you\xe2\x80\x99d like your ZenUI Calendar to be, with easy-to-customize views.- Intelligent location integrating speeds the creation of appointments, allowing you to add previous or current addresses just by tapping the Location field.[Tips]1. Tick \xe2\x80\x98Show number of events\xe2\x80\x99 in Settings and Month view to enumerate each day\xe2\x80\x99s appointments, allowing you to gauge your schedule at a glance.2. If you\xe2\x80\x99re running late for an appointment, use the \xe2\x80\x98Quick responses\xe2\x80\x99 feature in Settings to let everyone know \xe2\x80\x94 with just a tap.3. Send greetings quickly and easily, right within ZenUI Calendar \xe2\x80\x93 just tap the entry and then choose to call or email.4. Enable the \xe2\x80\x98Show weather\xe2\x80\x99 and \xe2\x80\x98Show second time zone\xe2\x80\x99 options in Settings for a heads-up on outdoor conditions and to keep in sync with remote friends and colleagues.5. Link cover images for ZenUI Gallery events to ZenUI Calendar and then tap the image icon in ZenUI Calendar to instantly switch to ZenUI Gallery to view all linked photos.[Notes]1. The appearance and operation of some features may vary, depending on your device.2. ASUS ZenUI Calendar is a free app for ASUS devices. You will not be charged for downloading or using this app. [Contact Us]For more information about ASUS ZenUI Calendar, please visit http://www.asus.com/ASUS_ZenUI/Email: zenui@asus.com  """
Todoist,com.todoist,Productivity,,"b' Life can feel overwhelming. But it doesn\xe2\x80\x99t have to. With Todoist, you can keep track of everything \xe2\x80\x93 from simple errands like grocery shopping, to your most ambitious projects \xe2\x80\x93 so you can start getting things done and enjoy more peace-of-mind along the way.When you don\xe2\x80\x99t have to worry about forgetting to-dos, you\xe2\x80\x99ll feel more calm, in control and motivated to accomplish your goals. Todoist helps get all your tasks and thoughts out of your head and onto your to-do list anytime, anywhere, with real-time sync on all of your favorite devices \xe2\x80\x93 including your Android phone, tablet, desktop and web browser. Even when you\xe2\x80\x99re offline. \xe2\x9d\x9dTodoist is the best to-do list app right now. It\xe2\x80\x99s available on virtually any platform you can think of. It\xe2\x80\x99s clean, fast, easy to use and makes accomplishing tasks on your to-do list lightning-fast.\xe2\x9d\x9e - The VergeWith Todoist, you can: \xe2\x96\xb8 Capture and organize tasks into your to-do list the moment they pop into your head. For example, simply write a task like \xe2\x80\x9cwater the plants every Thursday at 9AM #errands\xe2\x80\x9d and Todoist will automatically set a task and reminder for every Thursday at 9:00AM in your \xe2\x80\x9cerrands\xe2\x80\x9d project. \xe2\x96\xb8 Remember important deadlines and build lasting habits with powerful recurring due dates like ""every second Monday.""\xe2\x96\xb8 Free up mental space by delegating tasks and errands to people in your shared projects.\xe2\x96\xb8 Highlight your day\xe2\x80\x99s most important activities with color-coded priority levels.\xe2\x96\xb8 See an overview of your daily and weekly accomplishments with beautifully customized productivity graphs.You can make Todoist your central, organized task management hub for getting things done with access to 60+ popular app integrations like Dropbox, Amazon Alexa, Zapier, IFTTT, and Slack. Even teams and small businesses can get more out of task management with Todoist. From stand-alone tasks to multi-phase projects, Todoist\xe2\x80\x99s Business version gives your team a clear overview of everything that needs to get done on every platform, with real-time sync.Todoist is free forever with the option to upgrade to Todoist Premium. With Todoist Premium, you\xe2\x80\x99ll enjoy unlimited access to powerful task management features that\xe2\x80\x99ll help you accomplish your goals faster while feeling confident and in control. \xe2\x9d\x9dTodoist is a powerful to-do list app that can do pretty much whatever you need it to do.\xe2\x9d\x9e - Android Authority At the end of the day, you can rest, relax and recharge for tomorrow with the peace-of-mind of knowing that your task management is 100% organized and accounted for. Join over 10 million people who rely on Todoist for getting things done and who feel more calm and in control of their lives.  '"
Adobe Creative Cloud,com.adobe.cc,Files,,"b"" \xe2\x80\xa2 Automatically sync your screenshots to the Creative Cloud and your desktop.\xe2\x80\xa2 Markup and annotate screenshots with new in-app tools.\xe2\x80\xa2 Search and acquire assets from Adobe Stock.\xe2\x80\xa2 Find new apps connected to the Creative Cloud via the App Library.\xe2\x80\xa2 Publish your work to Behance -- the leading online platform to showcase & discover creative work.\xe2\x80\xa2 Upload photos to Lightroom or add them to a Creative Cloud Library.\xe2\x80\xa2 Download assets from Creative Cloud Libraries to use within other apps.Adobe Creative Cloud for Android: Your work, your inspiration, your creativity, with you wherever you go. Included as part of your free membership, this app connects your mobile devices to the Adobe Creative Cloud.New collaboration features in Creative Cloud for Android make it easy to share designs with your team. Invite team members to collaborate on a project or create a public link to share your designs with anyone in the world. With push notifications, you'll receive feedback the moment someone leaves a comment or joins a collaboration.This app gives you access to all of your files and assets stored in the Creative Cloud. You may browse and preview your PSD, AI, INDD, PDF and other design asset stored in the cloud. You'll have instant access to Creative Cloud Libraries as well as mobile creations made in Photoshop Mix for Android.Creative Cloud for Android will also help you manage your screenshots. When enabled, every screenshot you take on the device will sync to the Creative Cloud and your desktop. In app tools allow you to add annotated notes, drawings, and shapes to your screenshots so they are ready to share.Sign up for a free Adobe ID and start collaborating with your team immediately. The free Creative Cloud membership includes 2GB of cloud storage (powered by CreativeSync*) and trial access to every Adobe creative tool.* Adobe CreativeSync ensures that your files, fonts, design assets, settings and more all instantly appear in your workflow wherever you need them. Start your creative work on any device and seamlessly pick it up on another.  """
Barbeque Nation,com.jamhub.barbeque,Food,,"b"" Barbeque Nation's own reservation App, supported at all major cities.Barbeque Nation\xe2\x80\x99s \xe2\x80\x98live-grill\xe2\x80\x99 concept and unmatched ambiance have made it a household name among barbeque enthusiasts across India. After all, where else can you and your friends experience the warmth of a barbeque party right at your table? But that\xe2\x80\x99s not all. Grilling your own starters is followed by a delicious buffet of American, Mediterranean, Oriental and Indian cuisine. As well as a selection of fine alcohol to get you in the right spirits.Barbeque Nation has always been about celebrations. And we\xe2\x80\x99d never want anything to come in the way of that. So next time you have an uncontrollable craving your favorite grills, don\xe2\x80\x99t wait to make a reservation. Just log on to the BBQN App, to reserve your table, browse the menu and make the most of our deals. Need we say more? Delightful Features:- Reserve a table from your Android phone or tablet. No waiting in line.- Find the nearest Barbeque Nation outlet. Or the furthest. Even the ones Coming Soon.- Browse the menu for all your favorite dishes and new ones too.- Never miss any of the awesome BBQN Food Festivals.- Relive all your mouth-watering memories and add new ones to the gallery.- Discover offers you can\xe2\x80\x99t refuse and ones you\xe2\x80\x99d hate to miss.  """
Polaris Office,com.infraware.office.link,Files,,"b' Already 60 Million Users Across The World, Get the Latest Android Office App For Free.Experience New All-in-One Complete Office Suite compatible with MS Word, Excel, PowerPoint and Adobe PDF. ""Editors\' Choice"", ""2015 Best App"", and ""Top Developer""awarded by Google Play.Compact - Only 50 MB Size. Just one application enough for all different type of documents.\xe2\x80\xa2 You can open, edit and save all type of office files such as word, excel and powerpoint by one android office app installed.\xe2\x80\xa2 Experience your first mobile presentation in slide with pen and pointer features. Also, available Google Chromecast for full screen.Compatible - Fully Compatible with Microsoft Office, PDF Reader & Converter.\xe2\x80\xa2 Open all file formats such as Microsoft Word, Microsoft Excel, Spreadsheet, Microsoft PowerPoint, Slide, and Google Docs.\xe2\x80\xa2 View PDFs right from your Android phone and save as PDF files from other type of documents.\xe2\x80\xa2 Without extracting zip files on Android device, you can easily open and read all type of documents.Creative - Improve your skill, enhance your creativity with handwriting input.\xe2\x80\xa2 Draw and edit your idea with your own hands. Let you write on screen as though you were writing on actual paper.\xe2\x80\xa2 Directly, take pictures from camera to documents or insert video clips from your Android phone.Connect - Quick and Easy Access for Anytime, Anywhere and Any device.\xe2\x80\xa2 Across all devices like Desktop, Tablet and Android phone, Keep your all documents always up-to-date in sync via Polaris Drive or other cloud service.\xe2\x80\xa2 Powerful search function will save your time to expand your search terms not just filename.Collaborate - Writing notes directly with your hands then sharing your idea easily.\xe2\x80\xa2 Just simply sharing the link of documents with our cloud storage via SMS, email, Facebook and other channels.\xe2\x80\xa2 Leave your comments right away even PDF files and invite your colleagues to in-app communication to discuss revision before printing it out. [Features] \xe2\x80\xa2 Supported File Formats : DOC, DOCX, XLS, XLSX, PPT, PPTX, PPS, PPSX, TXT, HWP, ODT and PDF.\xe2\x80\xa2 Free Available for 24 templates, 20 various 2D/3D charts, 37 slide transition effects, 173 different shapes and 300 formulas for spreadsheet.\xe2\x80\xa2 Supporting 18 global languages including English, French, Arabic, Japanese, Russian, German, Italian, Spanish, etc\xe2\x80\xa2 Polaris Drive is a default cloud but also available other cloud service such as Google Drive, Dropbox, Box, OneDrive, clouds for 24 hours, 365 days.\xe2\x80\xa2 Polaris Office has earned ISO 27001 certification for International Cloud Privacy Standard. [Payment plan and auto-subscription] \xe2\x80\xa2 Polaris Office is free all-in-one office suite but some features can be limited by your cloud usage or your subscription option. Generally, you can use more features with reasonable price, please check details on polarisoffice.com/pricing\xe2\x80\xa2 You can upgrade to the Smart Plan ($3.99/month & $39.99/year) or the Pro Plan ($5.99/month & $59.99/year) to take the advantage of even more premium functions. (The price is based on US dollar. The actual price may differ depending on currency of each countries.)\xe2\x80\xa2 You can remove advertisement by purchasing Remove Ad for $2.99.\xe2\x80\xa2 Recurring payments and plan subscriptions are automatically processed. Your subscription will automatically renew.\xe2\x80\xa2 If you would like to stop your subscription, please cancel your subscription any time within 24 hours before the next renewal date. Subscription cancellation is available within the Google Play Store app details page or Google Wallet. (Reference: support.google.com/payments/answer/6220303?hl=en) [Note] \xe2\x80\xa2 Official Site : Polarisoffice.com\xe2\x80\xa2 YouTube : youtube.com/user/infrawareinc\xe2\x80\xa2 Support : [Application] - [Settings] - [Customer Support] or [Official Site] \xe2\x80\x93 [Support]\xe2\x80\xa2 Privacy & Terms : www.polarisoffice.com/privacy  '"
Domino's Pizza,com.Dominos,Food,,"b"" Domino\xe2\x80\x99s - Buy Sizzling Fresh, Delicious Pizzas Online on the GoBuy Domino\xe2\x80\x99s pizza online for those fun-filled times that demand something light and awesomely delicious, tease your taste buds with the vivid flavours of cheese-filled, crispy Domino\xe2\x80\x99s Pizza. With assorted menus, just ready to be ordered with a swipe, our pizza delivery app has the perfect recipe to build the mood right for any occasion \xe2\x80\x93 be it a get together, party, or simply spending time with friends or family.Domino\xe2\x80\x99s pizza delivery app comes with an easy-to-use interface, a quick selection menu, and a smartly designed app-interface that lets you order food online of your choice. Right from the regular pizzas to the well-toned garlic bread, from extra toppings to supplementary beverages, compile the perfect relishing mix within seconds, all on our revolutionary food delivery app. With secure payment gateway, within 30-minutes home delivery, feasting on your favourite pizza is easy. Apply pizza coupons to save on food order online, and find an excuse to order your favourite pizza with attractive offers.FeaturesDomino\xe2\x80\x99s pizza delivery app brings fun in ordering pizza right on your Android phone. What makes us unique \xe2\x80\x93\xe2\x9e\xa2Enhanced User Experience with Quick Swipe\xe2\x9e\xa2Find your nearest Domino\xe2\x80\x99s on App\xe2\x9e\xa2Quick Coupon Redemption\xe2\x9e\xa2Quick Buy from Easy Menus\xe2\x9e\xa2Improved Order Customisation\xe2\x9e\xa2Secure online payment with multiple payment options\xe2\x9e\xa2Option to Tag a product favourite\xe2\x9e\xa2Real-time tracking of orders\xe2\x9e\xa2Home Screen Notifications for Quick ViewOur pizza delivery app is compatible with any Android Phone with Android version 3.0 and above.Installation/Use of Domino\xe2\x80\x99s Pizza delivery appDomino\xe2\x80\x99s pizza app requires access to system resources for smooth functioning. This food delivery app requests location, data, and camera access. Kindly allow the same while installing. If you have a firewall, or security program installed, then don\xe2\x80\x99t forget to make an exception for uninterrupted online food order and delivery. Once the app is installed, your window to order some of the lip-smacking pizzas online opens instantly thereafter.Domino\xe2\x80\x99s pizza delivery app is available in leading metropolitan cities. Whether you wish to order pizza in Mumbai \xe2\x80\x98s office, or at a meeting in Gurgaon, whether you are meeting with friends in Ahmedabad, or spending time with relatives in Bangalore, Domino\xe2\x80\x99s app is there to offer you the best assortment of pizza at more than 1100 locations in India and more than 20 stores in Sri Lanka.How to Order?Domino\xe2\x80\x99s pizza app lets you order pizza online in few steps. On opening the app, you will be presented with a quick menu of pizza assortments. You may choose a single pizza or opt for a complete package comprising of pizza, garlic breads, add-ons, and beverages. You can customise your order as per your mood. If you are choosy about your pizzas, or wish to browse through the different options, you may browse through the entire menu of assorted offerings. After choosing, you may add the selected pizza to the cart, customise it with selective toppings. To complement it, you may add a glass of your favourite beverage or dessert, and finally go for checkout. We accept payment through net banking, credit cards, debit cards, and cash cards.Domino\xe2\x80\x99s pizza India and Sri Lanka accepts all valid coupons. You may also look for Domino's discount codes and offers to save on your favourite pizza menu.From where will I get the order?Domino\xe2\x80\x99s app will let you find and choose the nearest Domino\xe2\x80\x99s pizza restaurants in your locality.Domino\xe2\x80\x99s App is available for install and use in India and Sri LankaOur app will request access to several mobile features, kindly allow access for pizza ordering without any hassles. For any queries related to placing an order, compatibility with device, and other app operations, please visit our website, or write to us at guestcaredominos@jublfood.com  """
Google Keep,com.google.android.keep,Productivity,,"b' Quickly capture what\xe2\x80\x99s on your mind and get a reminder later at the right place or time. Record a voice memo on the go and have it automatically transcribed. Snap a photo of a poster, receipt or document and easily organise or find it later in search. Google Keep makes it easy to capture a thought or list for yourself, and share it with friends and family.  Capture what\xe2\x80\x99s on your mind \xe2\x80\xa2 Add notes, lists and photos to Google Keep. Pressed for time? Record a voice memo and Keep will transcribe it so you can find it later. Share ideas with friends and family \xe2\x80\xa2 Easily plan that surprise party by sharing your Keep notes with others and collaborating on them in real time. Find what you need, fast \xe2\x80\xa2 Colour and add labels to code notes to quickly organise and get on with your life. If you need to find something you saved, a simple search will bring it up. Always within reach \xe2\x80\xa2 Keep works on your phone, tablet, computer and Android wearables. Everything you add syncs across all of your devices so your thoughts are always with you. The right note at the right time \xe2\x80\xa2 Need to remember to pick up some groceries? Set a location-based reminder to pull up your grocery list just when you get to the shop. Available everywhere \xe2\x80\xa2 Try Google Keep on the web at http://keep.google.com and find it in the Chrome Web Store at http://g.co/keepinchrome.  Permissions notice Camera: This is used to attach images to notes in Keep Contacts: This is used to share notes with contacts Microphone: This is used to attach audio to notes Location: This is used to set and fire location-based reminders Storage: This is used to add attachments from storage to notes  '"
